BOFFA.patient	BOFFA.patientSum	BOFFA.situation	BOFFA.situationSum	BOFFA.combined	BOFFA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	1	1	0	0	1	1
2014-06-01	3	4	0	0	3	4
2014-06-08	7	11	0	0	7	11
2014-06-15	3	14	0	0	3	14
2014-06-22	3	17	0	0	3	17
2014-06-29	2	19	0	0	2	19
2014-07-06	0	19	0	0	0	19
2014-07-13	0	19	0	0	0	19
2014-07-20	0	19	0	0	0	19
2014-07-27	0	19	0	0	0	19
2014-08-03	0	19	0	0	0	19
2014-08-10	0	19	0	0	0	19
2014-08-17	0	19	0	0	0	19
2014-08-24	0	19	0	0	0	19
2014-08-31	0	19	0	0	0	19
2014-09-07	0	19	0	0	0	19
2014-09-14	0	19	0	0	0	19
2014-09-21	0	19	0	0	0	19
2014-09-28	0	19	0	0	0	19
2014-10-05	0	19	0	0	0	19
2014-10-12	0	19	0	0	0	19
2014-10-19	0	19	0	0	0	19
2014-10-26	0	19	0	0	0	19
2014-11-02	0	19	0	0	0	19
2014-11-09	0	19	0	0	0	19
2014-11-16	0	19	0	0	0	19
2014-11-23	0	19	0	0	0	19
2014-11-30	0	19	0	0	0	19
2014-12-07	0	19	0	0	0	19
2014-12-14	0	19	0	0	0	19
2014-12-21	0	19	0	0	0	19
2014-12-28	0	19	0	0	0	19
2015-01-04	0	19	0	0	0	19
2015-01-11	0	19	0	0	0	19
2015-01-18	4	23	4	4	4	23
2015-01-25	0	23	0	4	0	23
2015-02-01	1	24	1	5	1	24
2015-02-08	0	24	0	5	0	24
2015-02-15	1	25	1	6	1	25
2015-02-22	1	26	1	7	1	26
2015-03-01	1	27	1	8	1	27
2015-03-08	2	29	2	10	2	29
2015-03-15	3	32	3	13	3	32
2015-03-22	0	32	0	13	0	32
2015-03-29	2	34	2	15	2	34
2015-04-05	0	34	0	15	0	34
2015-04-12	1	35	1	16	1	35
2015-04-19	0	35	0	16	0	35
2015-04-26	1	36	1	17	1	36
2015-05-03	0	36	0	17	0	36
2015-05-10	0	36	0	17	0	36
2015-05-17	0	36	0	17	0	36
2015-05-24	0	36	0	17	0	36
2015-05-31	0	36	0	17	0	36
2015-06-07	0	36	0	17	0	36
2015-06-14	0	36	0	17	0	36
2015-06-21	0	36	0	17	0	36
2015-06-28	0	36	0	17	0	36
2015-07-05	0	36	0	17	0	36
2015-07-12	0	36	0	17	0	36
2015-07-19	0	36	0	17	0	36
2015-07-26	0	36	0	17	0	36
2015-08-02	0	36	0	17	0	36
2015-08-09	0	36	0	17	0	36
2015-08-16	0	36	0	17	0	36
2015-08-23	0	36	0	17	0	36
2015-08-30	0	36	0	17	0	36
2015-09-06	0	36	0	17	0	36
2015-09-13	0	36	0	17	0	36
2015-09-20	0	36	0	17	0	36
2015-09-27	0	36	0	17	0	36
2015-10-04	0	36	0	17	0	36
2015-10-11	0	36	0	17	0	36
2015-10-18	0	36	0	17	0	36
2015-10-25	0	36	0	17	0	36
2015-11-01	0	36	0	17	0	36
2015-11-08	0	36	0	17	0	36
2015-11-15	0	36	0	17	0	36
2015-11-22	0	36	0	17	0	36
2015-11-29	0	36	0	17	0	36
2015-12-06	0	36	0	17	0	36
2015-12-13	0	36	0	17	0	36
2015-12-20	0	36	0	17	0	36
2015-12-27	0	36	0	17	0	36
2016-01-03	0	36	0	17	0	36
2016-01-10	0	36	0	17	0	36
2016-01-17	0	36	0	17	0	36
2016-01-24	0	36	0	17	0	36
2016-01-31	0	36	0	17	0	36
2016-02-07	0	36	0	17	0	36
2016-02-14	0	36	0	17	0	36
2016-02-21	0	36	0	17	0	36
2016-02-28	0	36	0	17	0	36
2016-03-06	0	36	0	17	0	36
2016-03-13	0	36	0	17	0	36
2016-03-20	0	36	0	17	0	36
2016-03-27	0	36	0	17	0	36
2016-04-03	0	36	0	17	0	36
2016-04-10	0	36	0	17	0	36
2016-04-17	0	36	0	17	0	36
2016-04-24	0	36	0	17	0	36
2016-05-01	0	36	0	17	0	36
2016-05-08	0	36	0	17	0	36
