CONAKRY.patient	CONAKRY.patientSum	CONAKRY.situation	CONAKRY.situationSum	CONAKRY.combined	CONAKRY.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	1	1	0	0	1	1
2014-03-23	0	1	0	0	0	1
2014-03-30	11	12	0	0	11	12
2014-04-06	8	20	0	0	8	20
2014-04-13	8	28	0	0	8	28
2014-04-20	9	37	0	0	9	37
2014-04-27	2	39	0	0	2	39
2014-05-04	0	39	0	0	0	39
2014-05-11	0	39	0	0	0	39
2014-05-18	0	39	0	0	0	39
2014-05-25	1	40	0	0	1	40
2014-06-01	3	43	0	0	3	43
2014-06-08	7	50	0	0	7	50
2014-06-15	1	51	0	0	1	51
2014-06-22	0	51	0	0	0	51
2014-06-29	4	55	0	0	4	55
2014-07-06	1	56	0	0	1	56
2014-07-13	0	56	0	0	0	56
2014-07-20	0	56	0	0	0	56
2014-07-27	17	73	0	0	17	73
2014-08-03	1	74	0	0	1	74
2014-08-10	3	77	0	0	3	77
2014-08-17	5	82	0	0	5	82
2014-08-24	11	93	0	0	11	93
2014-08-31	10	103	0	0	10	103
2014-09-07	3	106	0	0	3	106
2014-09-14	15	121	0	0	15	121
2014-09-21	12	133	11	11	12	133
2014-09-28	33	166	30	41	33	166
2014-10-05	16	182	14	55	16	182
2014-10-12	8	190	9	64	9	191
2014-10-19	16	206	16	80	16	207
2014-10-26	6	212	6	86	6	213
2014-11-02	11	223	12	98	12	225
2014-11-09	19	242	18	116	19	244
2014-11-16	3	245	1	117	3	247
2014-11-23	7	252	6	123	7	254
2014-11-30	15	267	14	137	15	269
2014-12-07	16	283	16	153	16	285
2014-12-14	19	302	18	171	19	304
2014-12-21	21	323	18	189	21	325
2014-12-28	20	343	26	215	26	351
2015-01-04	24	367	24	239	24	375
2015-01-11	9	376	9	248	9	384
2015-01-18	4	380	4	252	4	388
2015-01-25	6	386	6	258	6	394
2015-02-01	6	392	6	264	6	400
2015-02-08	23	415	21	285	23	423
2015-02-15	12	427	13	298	13	436
2015-02-22	7	434	6	304	7	443
2015-03-01	16	450	17	321	17	460
2015-03-08	13	463	13	334	13	473
2015-03-15	27	490	25	359	27	500
2015-03-22	10	500	11	370	11	511
2015-03-29	19	519	19	389	19	530
2015-04-05	8	527	8	397	8	538
2015-04-12	6	533	6	403	6	544
2015-04-19	1	534	1	404	1	545
2015-04-26	0	534	0	404	0	545
2015-05-03	0	534	0	404	0	545
2015-05-10	0	534	0	404	0	545
2015-05-17	0	534	0	404	0	545
2015-05-24	0	534	0	404	0	545
2015-05-31	0	534	0	404	0	545
2015-06-07	2	536	2	406	2	547
2015-06-14	1	537	1	407	1	548
2015-06-21	1	538	1	408	1	549
2015-06-28	1	539	1	409	1	550
2015-07-05	1	540	1	410	1	551
2015-07-12	9	549	9	419	9	560
2015-07-19	13	562	13	432	13	573
2015-07-26	3	565	3	435	3	576
2015-08-02	1	566	1	436	1	577
2015-08-09	1	567	1	437	1	578
2015-08-16	2	569	2	439	2	580
2015-08-23	3	572	3	442	3	583
2015-08-30	1	573	1	443	1	584
2015-09-06	1	574	1	444	1	585
2015-09-13	0	574	0	444	0	585
2015-09-20	2	576	2	446	2	587
2015-09-27	0	576	0	446	0	587
2015-10-04	0	576	0	446	0	587
2015-10-11	0	576	0	446	0	587
2015-10-18	1	577	1	447	1	588
2015-10-25	0	577	0	447	0	588
2015-11-01	0	577	0	447	0	588
2015-11-08	0	577	0	447	0	588
2015-11-15	0	577	0	447	0	588
2015-11-22	0	577	0	447	0	588
2015-11-29	0	577	0	447	0	588
2015-12-06	0	577	0	447	0	588
2015-12-13	0	577	0	447	0	588
2015-12-20	0	577	0	447	0	588
2015-12-27	0	577	0	447	0	588
2016-01-03	0	577	0	447	0	588
2016-01-10	0	577	0	447	0	588
2016-01-17	0	577	0	447	0	588
2016-01-24	0	577	0	447	0	588
2016-01-31	0	577	0	447	0	588
2016-02-07	0	577	0	447	0	588
2016-02-14	0	577	0	447	0	588
2016-02-21	0	577	0	447	0	588
2016-02-28	0	577	0	447	0	588
2016-03-06	0	577	0	447	0	588
2016-03-13	0	577	0	447	0	588
2016-03-20	0	577	0	447	0	588
2016-03-27	0	577	0	447	0	588
2016-04-03	0	577	0	447	0	588
2016-04-10	0	577	0	447	0	588
2016-04-17	0	577	0	447	0	588
2016-04-24	0	577	0	447	0	588
2016-05-01	0	577	0	447	0	588
2016-05-08	0	577	0	447	0	588
