COYAH.patient	COYAH.patientSum	COYAH.situation	COYAH.situationSum	COYAH.combined	COYAH.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	0	0	0	0	0	0
2014-07-20	0	0	0	0	0	0
2014-07-27	1	1	0	0	1	1
2014-08-03	0	1	0	0	0	1
2014-08-10	0	1	0	0	0	1
2014-08-17	0	1	0	0	0	1
2014-08-24	0	1	0	0	0	1
2014-08-31	0	1	0	0	0	1
2014-09-07	5	6	0	0	5	6
2014-09-14	0	6	0	0	0	6
2014-09-21	2	8	2	2	2	8
2014-09-28	2	10	2	4	2	10
2014-10-05	2	12	2	6	2	12
2014-10-12	25	37	26	32	26	38
2014-10-19	7	44	4	36	7	45
2014-10-26	5	49	8	44	8	53
2014-11-02	1	50	1	45	1	54
2014-11-09	8	58	6	51	8	62
2014-11-16	5	63	5	56	5	67
2014-11-23	11	74	10	66	11	78
2014-11-30	16	90	15	81	16	94
2014-12-07	16	106	18	99	18	112
2014-12-14	17	123	14	113	17	129
2014-12-21	16	139	19	132	19	148
2014-12-28	11	150	12	144	12	160
2015-01-04	4	154	4	148	4	164
2015-01-11	8	162	6	154	8	172
2015-01-18	2	164	3	157	3	175
2015-01-25	1	165	0	157	1	176
2015-02-01	1	166	2	159	2	178
2015-02-08	1	167	1	160	1	179
2015-02-15	2	169	5	165	5	184
2015-02-22	8	177	8	173	8	192
2015-03-01	7	184	5	178	7	199
2015-03-08	5	189	8	186	8	207
2015-03-15	21	210	20	206	21	228
2015-03-22	6	216	6	212	6	234
2015-03-29	7	223	8	220	8	242
2015-04-05	1	224	1	221	1	243
2015-04-12	3	227	3	224	3	246
2015-04-19	1	228	1	225	1	247
2015-04-26	0	228	0	225	0	247
2015-05-03	0	228	0	225	0	247
2015-05-10	0	228	0	225	0	247
2015-05-17	0	228	0	225	0	247
2015-05-24	0	228	0	225	0	247
2015-05-31	0	228	0	225	0	247
2015-06-07	0	228	0	225	0	247
2015-06-14	0	228	0	225	0	247
2015-06-21	0	228	0	225	0	247
2015-06-28	0	228	0	225	0	247
2015-07-05	0	228	0	225	0	247
2015-07-12	0	228	0	225	0	247
2015-07-19	2	230	2	227	2	249
2015-07-26	1	231	1	228	1	250
2015-08-02	0	231	0	228	0	250
2015-08-09	0	231	0	228	0	250
2015-08-16	0	231	0	228	0	250
2015-08-23	0	231	0	228	0	250
2015-08-30	0	231	0	228	0	250
2015-09-06	0	231	0	228	0	250
2015-09-13	0	231	0	228	0	250
2015-09-20	0	231	0	228	0	250
2015-09-27	0	231	0	228	0	250
2015-10-04	0	231	0	228	0	250
2015-10-11	0	231	0	228	0	250
2015-10-18	0	231	0	228	0	250
2015-10-25	0	231	0	228	0	250
2015-11-01	0	231	0	228	0	250
2015-11-08	0	231	0	228	0	250
2015-11-15	0	231	0	228	0	250
2015-11-22	0	231	0	228	0	250
2015-11-29	0	231	0	228	0	250
2015-12-06	0	231	0	228	0	250
2015-12-13	0	231	0	228	0	250
2015-12-20	0	231	0	228	0	250
2015-12-27	0	231	0	228	0	250
2016-01-03	0	231	0	228	0	250
2016-01-10	0	231	0	228	0	250
2016-01-17	0	231	0	228	0	250
2016-01-24	0	231	0	228	0	250
2016-01-31	0	231	0	228	0	250
2016-02-07	0	231	0	228	0	250
2016-02-14	0	231	0	228	0	250
2016-02-21	0	231	0	228	0	250
2016-02-28	0	231	0	228	0	250
2016-03-06	0	231	0	228	0	250
2016-03-13	0	231	0	228	0	250
2016-03-20	0	231	0	228	0	250
2016-03-27	0	231	0	228	0	250
2016-04-03	0	231	0	228	0	250
2016-04-10	0	231	0	228	0	250
2016-04-17	0	231	0	228	0	250
2016-04-24	0	231	0	228	0	250
2016-05-01	0	231	0	228	0	250
2016-05-08	0	231	0	228	0	250
