SIGUIRI.patient	SIGUIRI.patientSum	SIGUIRI.situation	SIGUIRI.situationSum	SIGUIRI.combined	SIGUIRI.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	1	1	0	0	1	1
2014-04-13	0	1	0	0	0	1
2014-04-20	0	1	0	0	0	1
2014-04-27	0	1	0	0	0	1
2014-05-04	0	1	0	0	0	1
2014-05-11	0	1	0	0	0	1
2014-05-18	0	1	0	0	0	1
2014-05-25	0	1	0	0	0	1
2014-06-01	0	1	0	0	0	1
2014-06-08	0	1	0	0	0	1
2014-06-15	0	1	0	0	0	1
2014-06-22	0	1	0	0	0	1
2014-06-29	0	1	0	0	0	1
2014-07-06	0	1	0	0	0	1
2014-07-13	0	1	0	0	0	1
2014-07-20	1	2	0	0	1	2
2014-07-27	3	5	0	0	3	5
2014-08-03	2	7	0	0	2	7
2014-08-10	0	7	0	0	0	7
2014-08-17	0	7	0	0	0	7
2014-08-24	0	7	0	0	0	7
2014-08-31	0	7	0	0	0	7
2014-09-07	0	7	0	0	0	7
2014-09-14	0	7	0	0	0	7
2014-09-21	0	7	0	0	0	7
2014-09-28	0	7	0	0	0	7
2014-10-05	0	7	0	0	0	7
2014-10-12	0	7	0	0	0	7
2014-10-19	1	8	1	1	1	8
2014-10-26	2	10	1	2	2	10
2014-11-02	0	10	1	3	1	11
2014-11-09	3	13	3	6	3	14
2014-11-16	2	15	2	8	2	16
2014-11-23	4	19	3	11	4	20
2014-11-30	1	20	2	13	2	22
2014-12-07	3	23	3	16	3	25
2014-12-14	0	23	0	16	0	25
2014-12-21	0	23	0	16	0	25
2014-12-28	1	24	1	17	1	26
2015-01-04	0	24	0	17	0	26
2015-01-11	0	24	0	17	0	26
2015-01-18	0	24	0	17	0	26
2015-01-25	0	24	0	17	0	26
2015-02-01	1	25	1	18	1	27
2015-02-08	0	25	0	18	0	27
2015-02-15	0	25	0	18	0	27
2015-02-22	0	25	0	18	0	27
2015-03-01	0	25	0	18	0	27
2015-03-08	0	25	0	18	0	27
2015-03-15	0	25	0	18	0	27
2015-03-22	0	25	0	18	0	27
2015-03-29	2	27	2	20	2	29
2015-04-05	0	27	0	20	0	29
2015-04-12	0	27	0	20	0	29
2015-04-19	0	27	0	20	0	29
2015-04-26	0	27	0	20	0	29
2015-05-03	0	27	0	20	0	29
2015-05-10	0	27	0	20	0	29
2015-05-17	0	27	0	20	0	29
2015-05-24	0	27	0	20	0	29
2015-05-31	0	27	0	20	0	29
2015-06-07	0	27	0	20	0	29
2015-06-14	0	27	0	20	0	29
2015-06-21	0	27	0	20	0	29
2015-06-28	0	27	0	20	0	29
2015-07-05	0	27	0	20	0	29
2015-07-12	0	27	0	20	0	29
2015-07-19	0	27	0	20	0	29
2015-07-26	0	27	0	20	0	29
2015-08-02	0	27	0	20	0	29
2015-08-09	0	27	0	20	0	29
2015-08-16	0	27	0	20	0	29
2015-08-23	0	27	0	20	0	29
2015-08-30	0	27	0	20	0	29
2015-09-06	0	27	0	20	0	29
2015-09-13	0	27	0	20	0	29
2015-09-20	0	27	0	20	0	29
2015-09-27	0	27	0	20	0	29
2015-10-04	0	27	0	20	0	29
2015-10-11	0	27	0	20	0	29
2015-10-18	0	27	0	20	0	29
2015-10-25	0	27	0	20	0	29
2015-11-01	0	27	0	20	0	29
2015-11-08	0	27	0	20	0	29
2015-11-15	0	27	0	20	0	29
2015-11-22	0	27	0	20	0	29
2015-11-29	0	27	0	20	0	29
2015-12-06	0	27	0	20	0	29
2015-12-13	0	27	0	20	0	29
2015-12-20	0	27	0	20	0	29
2015-12-27	0	27	0	20	0	29
2016-01-03	0	27	0	20	0	29
2016-01-10	0	27	0	20	0	29
2016-01-17	0	27	0	20	0	29
2016-01-24	0	27	0	20	0	29
2016-01-31	0	27	0	20	0	29
2016-02-07	0	27	0	20	0	29
2016-02-14	0	27	0	20	0	29
2016-02-21	0	27	0	20	0	29
2016-02-28	0	27	0	20	0	29
2016-03-06	0	27	0	20	0	29
2016-03-13	0	27	0	20	0	29
2016-03-20	0	27	0	20	0	29
2016-03-27	0	27	0	20	0	29
2016-04-03	0	27	0	20	0	29
2016-04-10	0	27	0	20	0	29
2016-04-17	0	27	0	20	0	29
2016-04-24	0	27	0	20	0	29
2016-05-01	0	27	0	20	0	29
2016-05-08	0	27	0	20	0	29
