GRAND.BASSA.patient	GRAND.BASSA.patientSum	GRAND.BASSA.situation	GRAND.BASSA.situationSum	GRAND.BASSA.combined	GRAND.BASSA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	0	0	0	0	0	0
2014-06-29	0	0	0	0	0	0
2014-07-06	0	0	0	0	0	0
2014-07-13	1	1	0	0	1	1
2014-07-20	0	1	0	0	0	1
2014-07-27	2	3	0	0	2	3
2014-08-03	0	3	0	0	0	3
2014-08-10	2	5	0	0	2	5
2014-08-17	3	8	0	0	3	8
2014-08-24	4	12	0	0	4	12
2014-08-31	4	16	0	0	4	16
2014-09-07	2	18	0	0	2	18
2014-09-14	3	21	0	0	3	21
2014-09-21	1	22	0	0	1	22
2014-09-28	1	23	0	0	1	23
2014-10-05	0	23	0	0	0	23
2014-10-12	2	25	0	0	2	25
2014-10-19	0	25	0	0	0	25
2014-10-26	2	27	0	0	2	27
2014-11-02	3	30	0	0	3	30
2014-11-09	7	37	0	0	7	37
2014-11-16	2	39	0	0	2	39
2014-11-23	1	40	1	1	1	40
2014-11-30	7	47	5	6	7	47
2014-12-07	6	53	13	19	13	60
2014-12-14	2	55	2	21	2	62
2014-12-21	1	56	1	22	1	63
2014-12-28	0	56	0	22	0	63
2015-01-04	0	56	0	22	0	63
2015-01-11	0	56	0	22	0	63
2015-01-18	0	56	0	22	0	63
2015-01-25	2	58	0	22	2	65
2015-02-01	0	58	0	22	0	65
2015-02-08	0	58	0	22	0	65
2015-02-15	0	58	0	22	0	65
2015-02-22	0	58	0	22	0	65
2015-03-01	0	58	0	22	0	65
2015-03-08	0	58	0	22	0	65
2015-03-15	0	58	0	22	0	65
2015-03-22	0	58	0	22	0	65
2015-03-29	0	58	0	22	0	65
2015-04-05	0	58	0	22	0	65
2015-04-12	0	58	0	22	0	65
2015-04-19	0	58	0	22	0	65
2015-04-26	0	58	0	22	0	65
2015-05-03	0	58	0	22	0	65
2015-05-10	0	58	0	22	0	65
2015-05-17	0	58	0	22	0	65
2015-05-24	0	58	0	22	0	65
2015-05-31	0	58	0	22	0	65
2015-06-07	0	58	0	22	0	65
2015-06-14	0	58	0	22	0	65
2015-06-21	0	58	0	22	0	65
2015-06-28	0	58	0	22	0	65
2015-07-05	0	58	0	22	0	65
2015-07-12	0	58	0	22	0	65
2015-07-19	0	58	0	22	0	65
2015-07-26	0	58	0	22	0	65
2015-08-02	0	58	0	22	0	65
2015-08-09	0	58	0	22	0	65
2015-08-16	0	58	0	22	0	65
2015-08-23	0	58	0	22	0	65
2015-08-30	0	58	0	22	0	65
2015-09-06	0	58	0	22	0	65
2015-09-13	0	58	0	22	0	65
2015-09-20	0	58	0	22	0	65
2015-09-27	0	58	0	22	0	65
2015-10-04	0	58	0	22	0	65
2015-10-11	0	58	0	22	0	65
2015-10-18	0	58	0	22	0	65
2015-10-25	0	58	0	22	0	65
2015-11-01	0	58	0	22	0	65
2015-11-08	0	58	0	22	0	65
2015-11-15	0	58	0	22	0	65
2015-11-22	0	58	0	22	0	65
2015-11-29	0	58	0	22	0	65
2015-12-06	0	58	0	22	0	65
2015-12-13	0	58	0	22	0	65
2015-12-20	0	58	0	22	0	65
2015-12-27	0	58	0	22	0	65
2016-01-03	0	58	0	22	0	65
2016-01-10	0	58	0	22	0	65
2016-01-17	0	58	0	22	0	65
2016-01-24	0	58	0	22	0	65
2016-01-31	0	58	0	22	0	65
2016-02-07	0	58	0	22	0	65
2016-02-14	0	58	0	22	0	65
2016-02-21	0	58	0	22	0	65
2016-02-28	0	58	0	22	0	65
2016-03-06	0	58	0	22	0	65
2016-03-13	0	58	0	22	0	65
2016-03-20	0	58	0	22	0	65
2016-03-27	0	58	0	22	0	65
2016-04-03	0	58	0	22	0	65
2016-04-10	0	58	0	22	0	65
2016-04-17	0	58	0	22	0	65
2016-04-24	0	58	0	22	0	65
2016-05-01	0	58	0	22	0	65
2016-05-08	0	58	0	22	0	65
