NIMBA.patient	NIMBA.patientSum	NIMBA.situation	NIMBA.situationSum	NIMBA.combined	NIMBA.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	2	2	0	0	2	2
2014-05-18	0	2	0	0	0	2
2014-05-25	0	2	0	0	0	2
2014-06-01	0	2	0	0	0	2
2014-06-08	0	2	0	0	0	2
2014-06-15	0	2	0	0	0	2
2014-06-22	0	2	0	0	0	2
2014-06-29	0	2	0	0	0	2
2014-07-06	1	3	0	0	1	3
2014-07-13	2	5	0	0	2	5
2014-07-20	2	7	0	0	2	7
2014-07-27	0	7	0	0	0	7
2014-08-03	4	11	0	0	4	11
2014-08-10	2	13	0	0	2	13
2014-08-17	20	33	0	0	20	33
2014-08-24	7	40	0	0	7	40
2014-08-31	17	57	0	0	17	57
2014-09-07	12	69	0	0	12	69
2014-09-14	14	83	0	0	14	83
2014-09-21	12	95	0	0	12	95
2014-09-28	9	104	0	0	9	104
2014-10-05	4	108	0	0	4	108
2014-10-12	3	111	0	0	3	111
2014-10-19	4	115	0	0	4	115
2014-10-26	0	115	0	0	0	115
2014-11-02	1	116	0	0	1	116
2014-11-09	0	116	0	0	0	116
2014-11-16	0	116	0	0	0	116
2014-11-23	0	116	0	0	0	116
2014-11-30	0	116	0	0	0	116
2014-12-07	0	116	0	0	0	116
2014-12-14	0	116	0	0	0	116
2014-12-21	0	116	4	4	4	120
2014-12-28	0	116	0	4	0	120
2015-01-04	0	116	0	4	0	120
2015-01-11	0	116	0	4	0	120
2015-01-18	0	116	0	4	0	120
2015-01-25	0	116	0	4	0	120
2015-02-01	0	116	0	4	0	120
2015-02-08	0	116	0	4	0	120
2015-02-15	0	116	0	4	0	120
2015-02-22	0	116	0	4	0	120
2015-03-01	0	116	0	4	0	120
2015-03-08	0	116	0	4	0	120
2015-03-15	0	116	0	4	0	120
2015-03-22	0	116	0	4	0	120
2015-03-29	0	116	0	4	0	120
2015-04-05	0	116	0	4	0	120
2015-04-12	0	116	0	4	0	120
2015-04-19	0	116	0	4	0	120
2015-04-26	0	116	0	4	0	120
2015-05-03	0	116	0	4	0	120
2015-05-10	0	116	0	4	0	120
2015-05-17	0	116	0	4	0	120
2015-05-24	0	116	0	4	0	120
2015-05-31	0	116	0	4	0	120
2015-06-07	0	116	0	4	0	120
2015-06-14	0	116	0	4	0	120
2015-06-21	0	116	0	4	0	120
2015-06-28	0	116	0	4	0	120
2015-07-05	0	116	0	4	0	120
2015-07-12	0	116	0	4	0	120
2015-07-19	0	116	0	4	0	120
2015-07-26	0	116	0	4	0	120
2015-08-02	0	116	0	4	0	120
2015-08-09	0	116	0	4	0	120
2015-08-16	0	116	0	4	0	120
2015-08-23	0	116	0	4	0	120
2015-08-30	0	116	0	4	0	120
2015-09-06	0	116	0	4	0	120
2015-09-13	0	116	0	4	0	120
2015-09-20	0	116	0	4	0	120
2015-09-27	0	116	0	4	0	120
2015-10-04	0	116	0	4	0	120
2015-10-11	0	116	0	4	0	120
2015-10-18	0	116	0	4	0	120
2015-10-25	0	116	0	4	0	120
2015-11-01	0	116	0	4	0	120
2015-11-08	0	116	0	4	0	120
2015-11-15	0	116	0	4	0	120
2015-11-22	0	116	0	4	0	120
2015-11-29	0	116	0	4	0	120
2015-12-06	0	116	0	4	0	120
2015-12-13	0	116	0	4	0	120
2015-12-20	0	116	0	4	0	120
2015-12-27	0	116	0	4	0	120
2016-01-03	0	116	0	4	0	120
2016-01-10	0	116	0	4	0	120
2016-01-17	0	116	0	4	0	120
2016-01-24	0	116	0	4	0	120
2016-01-31	0	116	0	4	0	120
2016-02-07	0	116	0	4	0	120
2016-02-14	0	116	0	4	0	120
2016-02-21	0	116	0	4	0	120
2016-02-28	0	116	0	4	0	120
2016-03-06	0	116	0	4	0	120
2016-03-13	0	116	0	4	0	120
2016-03-20	0	116	0	4	0	120
2016-03-27	0	116	0	4	0	120
2016-04-03	0	116	0	4	0	120
2016-04-10	0	116	0	4	0	120
2016-04-17	0	116	0	4	0	120
2016-04-24	0	116	0	4	0	120
2016-05-01	0	116	0	4	0	120
2016-05-08	0	116	0	4	0	120
