BO.patient	BO.patientSum	BO.situation	BO.situationSum	BO.combined	BO.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	0	0	0	0	0	0
2014-06-22	1	1	0	0	1	1
2014-06-29	0	1	0	0	0	1
2014-07-06	1	2	0	0	1	2
2014-07-13	1	3	0	0	1	3
2014-07-20	4	7	0	0	4	7
2014-07-27	5	12	0	0	5	12
2014-08-03	7	19	0	0	7	19
2014-08-10	11	30	0	0	11	30
2014-08-17	6	36	0	0	6	36
2014-08-24	11	47	0	0	11	47
2014-08-31	35	82	0	0	35	82
2014-09-07	9	91	0	0	9	91
2014-09-14	15	106	0	0	15	106
2014-09-21	3	109	1	1	3	109
2014-09-28	27	136	20	21	27	136
2014-10-05	18	154	16	37	18	154
2014-10-12	15	169	18	55	18	172
2014-10-19	29	198	21	76	29	201
2014-10-26	14	212	14	90	14	215
2014-11-02	14	226	15	105	15	230
2014-11-09	16	242	12	117	16	246
2014-11-16	20	262	33	150	33	279
2014-11-23	20	282	14	164	20	299
2014-11-30	10	292	23	187	23	322
2014-12-07	19	311	14	201	19	341
2014-12-14	28	339	24	225	28	369
2014-12-21	3	342	2	227	3	372
2014-12-28	4	346	6	233	6	378
2015-01-04	4	350	3	236	4	382
2015-01-11	6	356	4	240	6	388
2015-01-18	2	358	2	242	2	390
2015-01-25	0	358	0	242	0	390
2015-02-01	0	358	0	242	0	390
2015-02-08	0	358	0	242	0	390
2015-02-15	0	358	0	242	0	390
2015-02-22	0	358	0	242	0	390
2015-03-01	0	358	0	242	0	390
2015-03-08	0	358	0	242	0	390
2015-03-15	0	358	0	242	0	390
2015-03-22	0	358	0	242	0	390
2015-03-29	0	358	0	242	0	390
2015-04-05	0	358	0	242	0	390
2015-04-12	0	358	0	242	0	390
2015-04-19	0	358	0	242	0	390
2015-04-26	0	358	0	242	0	390
2015-05-03	0	358	0	242	0	390
2015-05-10	0	358	0	242	0	390
2015-05-17	0	358	0	242	0	390
2015-05-24	0	358	0	242	0	390
2015-05-31	0	358	0	242	0	390
2015-06-07	0	358	0	242	0	390
2015-06-14	0	358	0	242	0	390
2015-06-21	0	358	0	242	0	390
2015-06-28	0	358	0	242	0	390
2015-07-05	0	358	0	242	0	390
2015-07-12	0	358	0	242	0	390
2015-07-19	0	358	0	242	0	390
2015-07-26	0	358	0	242	0	390
2015-08-02	0	358	0	242	0	390
2015-08-09	0	358	0	242	0	390
2015-08-16	0	358	0	242	0	390
2015-08-23	0	358	0	242	0	390
2015-08-30	0	358	0	242	0	390
2015-09-06	0	358	0	242	0	390
2015-09-13	0	358	0	242	0	390
2015-09-20	0	358	0	242	0	390
2015-09-27	0	358	0	242	0	390
2015-10-04	0	358	0	242	0	390
2015-10-11	0	358	0	242	0	390
2015-10-18	0	358	0	242	0	390
2015-10-25	0	358	0	242	0	390
2015-11-01	0	358	0	242	0	390
2015-11-08	0	358	0	242	0	390
2015-11-15	0	358	0	242	0	390
2015-11-22	0	358	0	242	0	390
2015-11-29	0	358	0	242	0	390
2015-12-06	0	358	0	242	0	390
2015-12-13	0	358	0	242	0	390
2015-12-20	0	358	0	242	0	390
2015-12-27	0	358	0	242	0	390
2016-01-03	0	358	0	242	0	390
2016-01-10	0	358	0	242	0	390
2016-01-17	0	358	0	242	0	390
2016-01-24	0	358	0	242	0	390
2016-01-31	0	358	0	242	0	390
2016-02-07	0	358	0	242	0	390
2016-02-14	0	358	0	242	0	390
2016-02-21	0	358	0	242	0	390
2016-02-28	0	358	0	242	0	390
2016-03-06	0	358	0	242	0	390
2016-03-13	0	358	0	242	0	390
2016-03-20	0	358	0	242	0	390
2016-03-27	0	358	0	242	0	390
2016-04-03	0	358	0	242	0	390
2016-04-10	0	358	0	242	0	390
2016-04-17	0	358	0	242	0	390
2016-04-24	0	358	0	242	0	390
2016-05-01	0	358	0	242	0	390
2016-05-08	0	358	0	242	0	390
