BOMBALI.patient	BOMBALI.patientSum	BOMBALI.situation	BOMBALI.situationSum	BOMBALI.combined	BOMBALI.combinedSum
2014-01-05	0	0	0	0	0	0
2014-01-12	0	0	0	0	0	0
2014-01-19	0	0	0	0	0	0
2014-01-26	0	0	0	0	0	0
2014-02-02	0	0	0	0	0	0
2014-02-09	0	0	0	0	0	0
2014-02-16	0	0	0	0	0	0
2014-02-23	0	0	0	0	0	0
2014-03-02	0	0	0	0	0	0
2014-03-09	0	0	0	0	0	0
2014-03-16	0	0	0	0	0	0
2014-03-23	0	0	0	0	0	0
2014-03-30	0	0	0	0	0	0
2014-04-06	0	0	0	0	0	0
2014-04-13	0	0	0	0	0	0
2014-04-20	0	0	0	0	0	0
2014-04-27	0	0	0	0	0	0
2014-05-04	0	0	0	0	0	0
2014-05-11	0	0	0	0	0	0
2014-05-18	0	0	0	0	0	0
2014-05-25	0	0	0	0	0	0
2014-06-01	0	0	0	0	0	0
2014-06-08	0	0	0	0	0	0
2014-06-15	1	1	0	0	1	1
2014-06-22	0	1	0	0	0	1
2014-06-29	0	1	0	0	0	1
2014-07-06	1	2	0	0	1	2
2014-07-13	0	2	0	0	0	2
2014-07-20	0	2	0	0	0	2
2014-07-27	5	7	0	0	5	7
2014-08-03	1	8	0	0	1	8
2014-08-10	2	10	0	0	2	10
2014-08-17	1	11	0	0	1	11
2014-08-24	11	22	0	0	11	22
2014-08-31	25	47	0	0	25	47
2014-09-07	31	78	0	0	31	78
2014-09-14	45	123	0	0	45	123
2014-09-21	84	207	35	35	84	207
2014-09-28	74	281	79	114	79	286
2014-10-05	87	368	52	166	87	373
2014-10-12	59	427	94	260	94	467
2014-10-19	62	489	72	332	72	539
2014-10-26	72	561	56	388	72	611
2014-11-02	67	628	90	478	90	701
2014-11-09	61	689	69	547	69	770
2014-11-16	41	730	52	599	52	822
2014-11-23	64	794	54	653	64	886
2014-11-30	68	862	66	719	68	954
2014-12-07	42	904	57	776	57	1011
2014-12-14	19	923	23	799	23	1034
2014-12-21	21	944	33	832	33	1067
2014-12-28	18	962	22	854	22	1089
2015-01-04	11	973	3	857	11	1100
2015-01-11	14	987	4	861	14	1114
2015-01-18	6	993	8	869	8	1122
2015-01-25	7	1000	6	875	7	1129
2015-02-01	6	1006	0	875	6	1135
2015-02-08	2	1008	3	878	3	1138
2015-02-15	3	1011	0	878	3	1141
2015-02-22	22	1033	20	898	22	1163
2015-03-01	11	1044	22	920	22	1185
2015-03-08	14	1058	6	926	14	1199
2015-03-15	4	1062	6	932	6	1205
2015-03-22	1	1063	1	933	1	1206
2015-03-29	1	1064	1	934	1	1207
2015-04-05	0	1064	0	934	0	1207
2015-04-12	0	1064	0	934	0	1207
2015-04-19	0	1064	0	934	0	1207
2015-04-26	0	1064	0	934	0	1207
2015-05-03	0	1064	0	934	0	1207
2015-05-10	0	1064	0	934	0	1207
2015-05-17	0	1064	0	934	0	1207
2015-05-24	0	1064	0	934	0	1207
2015-05-31	0	1064	0	934	0	1207
2015-06-07	0	1064	0	934	0	1207
2015-06-14	0	1064	0	934	0	1207
2015-06-21	0	1064	0	934	0	1207
2015-06-28	0	1064	0	934	0	1207
2015-07-05	0	1064	0	934	0	1207
2015-07-12	0	1064	0	934	0	1207
2015-07-19	0	1064	0	934	0	1207
2015-07-26	0	1064	0	934	0	1207
2015-08-02	0	1064	0	934	0	1207
2015-08-09	0	1064	0	934	0	1207
2015-08-16	0	1064	0	934	0	1207
2015-08-23	0	1064	0	934	0	1207
2015-08-30	0	1064	0	934	0	1207
2015-09-06	0	1064	0	934	0	1207
2015-09-13	0	1064	1	935	1	1208
2015-09-20	0	1064	0	935	0	1208
2015-09-27	0	1064	0	935	0	1208
2015-10-04	0	1064	0	935	0	1208
2015-10-11	0	1064	0	935	0	1208
2015-10-18	0	1064	0	935	0	1208
2015-10-25	0	1064	0	935	0	1208
2015-11-01	0	1064	0	935	0	1208
2015-11-08	0	1064	0	935	0	1208
2015-11-15	0	1064	0	935	0	1208
2015-11-22	0	1064	0	935	0	1208
2015-11-29	0	1064	0	935	0	1208
2015-12-06	0	1064	0	935	0	1208
2015-12-13	0	1064	0	935	0	1208
2015-12-20	0	1064	0	935	0	1208
2015-12-27	0	1064	0	935	0	1208
2016-01-03	0	1064	0	935	0	1208
2016-01-10	0	1064	0	935	0	1208
2016-01-17	0	1064	0	935	0	1208
2016-01-24	0	1064	0	935	0	1208
2016-01-31	0	1064	0	935	0	1208
2016-02-07	0	1064	0	935	0	1208
2016-02-14	0	1064	0	935	0	1208
2016-02-21	0	1064	0	935	0	1208
2016-02-28	0	1064	0	935	0	1208
2016-03-06	0	1064	0	935	0	1208
2016-03-13	0	1064	0	935	0	1208
2016-03-20	0	1064	0	935	0	1208
2016-03-27	0	1064	0	935	0	1208
2016-04-03	0	1064	0	935	0	1208
2016-04-10	0	1064	0	935	0	1208
2016-04-17	0	1064	0	935	0	1208
2016-04-24	0	1064	0	935	0	1208
2016-05-01	0	1064	0	935	0	1208
2016-05-08	0	1064	0	935	0	1208
